ano,ranking,nome_municipio,total_empenhado,total_pago,saldo_a_pagar
2023,1,JOÃO PESSOA,3770287747.11,3472652368.67,297635378.44
2023,2,CAMPINA GRANDE,1643337920.36,1566620992.39,76716927.97
2023,3,CABEDELO,510784510.16,482326999.69,28457510.47
2023,4,SANTA RITA,487948448.18,442106541.19,45841906.99
2023,5,PATOS,377664328.17,362732717.79,14931610.38
2023,6,BAYEUX,337061132.94,305533568.12,31527564.82
2023,7,CAJAZEIRAS,259691378.04,244775547.18,14915830.86
2023,8,SOUSA,225583250.85,212922846.57,12660404.28
2023,9,SAPÉ,214258669.84,195574109.06,18684560.78
2023,10,GUARABIRA,210908606.15,210048101.01,860505.14
2023,11,CONDE,207676935.37,188129822.33,19547113.04
2023,12,QUEIMADAS,186117229.62,181227670.09,4889559.53
2023,13,ALHANDRA,180690780.49,172660222.51,8030557.98
2023,14,MAMANGUAPE,166638090.96,153486306.92,13151784.04
2023,15,ESPERANÇA,156596431.28,146636996.55,9959434.73
2023,16,SÃO BENTO,154234205.95,135884215.89,18349990.06
2023,17,MONTEIRO,139657104.75,134322479.83,5334624.92
2023,18,POMBAL,139368787.96,136611663.66,2757124.3
2023,19,LAGOA SECA,118336627.4,112962042.07,5374585.33
2023,20,CATOLÉ DO ROCHA,116805078.21,110987702.86,5817375.35
2024,1,JOÃO PESSOA,4541626554.45,4270687473.38,270939081.07
2024,2,CAMPINA GRANDE,2007945487.2,1945339744.59,62605742.61
2024,3,SANTA RITA,565985966.57,540771884.51,25214082.06
2024,4,CABEDELO,555749713.44,535555331.5,20194381.94
2024,5,PATOS,447338566.23,438424878.78,8913687.45
2024,6,BAYEUX,369778500.35,341047102.88,28731397.47
2024,7,CAJAZEIRAS,328812454.65,315291598.2,13520856.45
2024,8,SOUSA,274742706.78,269924139.2,4818567.58
2024,9,SAPÉ,242028703.94,224174824.75,17853879.19
2024,10,GUARABIRA,240379840.37,239685813.23,694027.14
2024,11,QUEIMADAS,229469210.89,227464131.17,2005079.72
2024,12,SÃO BENTO,210146624.72,207947190.03,2199434.69
2024,13,CONDE,206646998.84,203080154.79,3566844.05
2024,14,MAMANGUAPE,202632619.62,196223147.03,6409472.59
2024,15,ESPERANÇA,202567878.78,191084970.3,11482908.48
2024,16,ALHANDRA,200949165.0,198040444.4,2908720.6
2024,17,MONTEIRO,171088034.84,166367419.8,4720615.04
2024,18,POMBAL,151001933.35,147891073.42,3110859.93
2024,19,LAGOA SECA,140439526.82,138362483.5,2077043.32
2024,20,CAAPORÃ,137699601.89,137680466.9,19134.99
2025,1,JOÃO PESSOA,4856505655.22,4528508501.61,327997153.61
2025,2,CAMPINA GRANDE,2176104770.91,2025589903.86,150514867.05
2025,3,SANTA RITA,646676012.45,599328299.61,47347712.84
2025,4,CABEDELO,582805728.92,540299574.65,42506154.27
2025,5,PATOS,509942401.08,498124720.4,11817680.68
2025,6,BAYEUX,395875210.62,369406987.74,26468222.88
2025,7,CAJAZEIRAS,336675635.73,320793034.76,15882600.97
2025,8,SOUSA,281694719.36,274183196.6,7511522.76
2025,9,SAPÉ,268079367.82,242240827.29,25838540.53
2025,10,QUEIMADAS,267231221.5,259343819.52,7887401.98
2025,11,GUARABIRA,264902911.96,262508951.64,2393960.32
2025,12,CONDE,242138248.94,233240972.24,8897276.7
2025,13,SÃO BENTO,228519255.97,224738933.45,3780322.52
2025,14,ALHANDRA,225042590.73,219121849.07,5920741.66
2025,15,MAMANGUAPE,221846210.13,213990750.07,7855460.06
2025,16,ESPERANÇA,210365052.59,193108543.97,17256508.62
2025,17,MONTEIRO,188667656.26,182268937.89,6398718.37
2025,18,POMBAL,169645052.25,166412924.38,3232127.87
2025,19,LAGOA SECA,168832991.03,156469795.97,12363195.06
2025,20,POCINHOS,166311927.23,162511153.07,3800774.16
