nome_municipio,ano,total_empenhado,total_liquidado,total_pago,saldo_a_pagar
AGUA BRANCA,2023,57859957.44,56112984.91,53828655.67,4031301.77
AGUA BRANCA,2024,69838138.4,68887045.9,66474798.22,3363340.18
AGUA BRANCA,2025,76026027.6,75708018.48,71331548.33,4694479.27
AGUIAR,2023,29832956.32,29774567.73,29662807.71,170148.61
AGUIAR,2024,49447163.14,49384324.95,49158962.76,288200.38
AGUIAR,2025,53123921.39,50071554.09,50019948.84,3103972.55
ALAGOA GRANDE,2023,93522677.43,92539710.44,91211473.9,2311203.53
ALAGOA GRANDE,2024,137152270.28,137149400.28,137094028.11,58242.17
ALAGOA GRANDE,2025,127986056.51,127856748.86,125832428.61,2153627.9
ALAGOA NOVA,2023,106488632.18,106462950.4,104702298.65,1786333.53
ALAGOA NOVA,2024,122821669.87,122799360.79,122282728.9,538940.97
ALAGOA NOVA,2025,137843744.41,137796107.24,137526270.38,317474.03
ALAGOINHA,2023,66448379.68,66380766.96,61472932.68,4975447.0
ALAGOINHA,2024,85182740.34,85164560.24,83204169.03,1978571.31
ALAGOINHA,2025,85313622.59,85239431.39,82314017.19,2999605.4
ALCANTIL,2023,36112331.91,36108331.91,32619400.18,3492931.73
ALCANTIL,2024,55862754.22,55819278.46,54998267.75,864486.47
ALCANTIL,2025,54793881.29,54362429.27,52780971.38,2012909.91
ALGODÃO DE JANDAÍRA,2023,25626883.58,25626883.58,25541711.59,85171.99
ALGODÃO DE JANDAÍRA,2024,31730361.95,31197860.95,30964568.87,765793.08
ALGODÃO DE JANDAÍRA,2025,34215849.53,34188133.2,34185127.08,30722.45
ALHANDRA,2023,180690780.49,177775560.91,172660222.51,8030557.98
ALHANDRA,2024,200949165.0,199933412.92,198040444.4,2908720.6
ALHANDRA,2025,225042590.73,221819234.21,219121849.07,5920741.66
AMPARO,2023,23207569.88,22778655.61,22705020.46,502549.42
AMPARO,2024,29400461.21,27915058.26,27475570.88,1924890.33
AMPARO,2025,31407588.2,28995939.46,28910543.21,2497044.99
APARECIDA,2023,34828185.92,34827866.71,34264573.2,563612.72
APARECIDA,2024,46868604.95,46470054.06,45790933.06,1077671.89
APARECIDA,2025,55570719.33,53889453.58,52575329.34,2995389.99
ARAÇAGI,2023,71676731.67,71668944.83,69472134.04,2204597.63
ARAÇAGI,2024,91419732.18,90122289.56,87612415.2,3807316.98
ARAÇAGI,2025,90248833.69,90237518.39,88111268.36,2137565.33
ARARA,2023,58305245.25,57066681.68,56663916.99,1641328.26
ARARA,2024,70584707.66,70163960.1,68545071.08,2039636.58
ARARA,2025,69120080.58,68771771.26,68435770.85,684309.73
ARARUNA,2023,78491665.73,76215767.99,76087981.44,2403684.29
ARARUNA,2024,95232902.15,93230960.64,92116712.97,3116189.18
ARARUNA,2025,111483756.32,109589511.21,105802921.46,5680834.86
AREIA,2023,92879464.57,91663667.19,90669801.33,2209663.24
AREIA,2024,105316904.79,103087121.81,100740893.11,4576011.68
AREIA,2025,116663531.05,114578628.69,114577743.49,2085787.56
AREIA DE BARAÚNAS,2023,22591603.01,22591603.01,21594790.03,996812.98
AREIA DE BARAÚNAS,2024,28145989.45,28145989.45,28111908.43,34081.02
AREIA DE BARAÚNAS,2025,32059013.51,32043013.51,31140258.75,918754.76
AREIAL,2023,37948436.87,37948436.87,36107510.19,1840926.68
AREIAL,2024,45788410.7,45298928.35,44910644.08,877766.62
AREIAL,2025,53280759.5,52467599.04,51380003.08,1900756.42
AROEIRAS,2023,89325117.13,89315117.03,84718036.29,4607080.84
AROEIRAS,2024,103893249.73,103421301.33,96944044.09,6949205.64
AROEIRAS,2025,116348873.15,116201019.51,107955088.01,8393785.14
ASSUNÇÃO,2023,33196644.6,32379843.39,31134693.9,2061950.7
ASSUNÇÃO,2024,35505445.42,35096466.16,33643769.07,1861676.35
ASSUNÇÃO,2025,41560530.28,41481155.51,38875024.21,2685506.07
BAÍA DA TRAIÇÃO,2023,44698346.98,44687323.14,43446967.29,1251379.69
BAÍA DA TRAIÇÃO,2024,62666624.37,62666624.37,61867058.73,799565.64
BAÍA DA TRAIÇÃO,2025,84136620.55,83845589.1,80956366.54,3180254.01
BANANEIRAS,2023,107088968.95,105186739.5,102848563.33,4240405.62
BANANEIRAS,2024,132429767.89,132336845.5,130284710.06,2145057.83
BANANEIRAS,2025,142633758.25,142288399.45,137880864.66,4752893.59
BARAÚNA,2023,28781137.81,28572394.88,28524714.29,256423.52
BARAÚNA,2024,38043063.63,37953148.9,37766573.58,276490.05
BARAÚNA,2025,38342833.01,38303254.6,37155226.23,1187606.78
BARRA DE SANTA ROSA,2023,75901379.78,74753863.79,72171196.13,3730183.65
BARRA DE SANTA ROSA,2024,85267479.95,84506516.17,82993368.25,2274111.7
BARRA DE SANTA ROSA,2025,91198661.98,90899752.46,87458855.4,3739806.58
BARRA DE SANTANA,2023,40664020.42,40189068.21,39969169.41,694851.01
BARRA DE SANTANA,2024,49172038.59,49141091.65,49030211.5,141827.09
BARRA DE SANTANA,2025,54984300.52,54837817.45,52051228.16,2933072.36
BARRA DE SÃO MIGUEL,2023,41320346.32,41295098.66,39380929.36,1939416.96
BARRA DE SÃO MIGUEL,2024,53561022.02,51769780.62,50829278.02,2731744.0
BARRA DE SÃO MIGUEL,2025,53533822.79,53505261.91,51184336.27,2349486.52
BAYEUX,2023,337061132.94,334617915.28,305533568.12,31527564.82
BAYEUX,2024,369778500.35,363019267.21,341047102.88,28731397.47
BAYEUX,2025,395875210.62,391966747.05,369406987.74,26468222.88
BELÉM,2023,71691714.26,71311547.62,68674542.96,3017171.3
BELÉM,2024,81096785.08,80432633.45,77759218.07,3337567.01
BELÉM,2025,84678336.48,83303746.21,80930315.66,3748020.82
BELÉM DO BREJO DO CRUZ,2023,47663862.19,47028963.9,43616511.45,4047350.74
BELÉM DO BREJO DO CRUZ,2024,48957119.84,48890553.86,46707398.0,2249721.84
BELÉM DO BREJO DO CRUZ,2025,55998899.46,55952158.22,53592217.33,2406682.13
BERNARDINO BATISTA,2023,38235839.49,37952428.72,37424352.36,811487.13
BERNARDINO BATISTA,2024,43944854.53,43169012.94,42735836.46,1209018.07
BERNARDINO BATISTA,2025,50248849.21,50248849.21,49868858.72,379990.49
BOA VENTURA,2023,27728633.79,27728633.79,26683153.47,1045480.32
BOA VENTURA,2024,32835400.05,32835400.05,32732752.72,102647.33
BOA VENTURA,2025,38505228.98,38505228.98,37038635.01,1466593.97
BOA VISTA,2023,45375156.92,41633970.52,40657034.71,4718122.21
BOA VISTA,2024,50278934.56,49993559.03,49868974.72,409959.84
BOA VISTA,2025,59304892.11,54766870.14,54249495.61,5055396.5
BOM JESUS,2023,32690891.49,32690891.49,31047031.98,1643859.51
BOM JESUS,2024,36908669.91,36861812.91,35023938.86,1884731.05
BOM JESUS,2025,39911950.08,39911950.08,38196977.79,1714972.29
BOM SUCESSO,2023,37180304.63,37057209.37,36746417.4,433887.23
BOM SUCESSO,2024,44438321.7,44438321.7,44263707.18,174614.52
BOM SUCESSO,2025,47199432.35,46692600.24,46638976.79,560455.56
BONITO DE SANTA FÉ,2023,54265726.98,54171640.49,53582051.76,683675.22
BONITO DE SANTA FÉ,2024,60750762.4,60508281.58,60359072.57,391689.83
BONITO DE SANTA FÉ,2025,68430123.47,68378826.91,68105306.74,324816.73
BOQUEIRÃO,2023,75168164.42,74201319.46,72744797.15,2423367.27
BOQUEIRÃO,2024,89625565.79,89614675.79,88522684.53,1102881.26
BOQUEIRÃO,2025,98629690.37,95554015.9,95464786.44,3164903.93
BORBOREMA,2023,27225655.22,27218580.08,25173653.15,2052002.07
BORBOREMA,2024,30828961.99,30828961.99,30547381.99,281580.0
BORBOREMA,2025,36532150.79,36525668.54,36375524.22,156626.57
BREJO DO CRUZ,2023,84565095.18,84343916.69,82672812.07,1892283.11
BREJO DO CRUZ,2024,95456584.82,95191729.07,94407352.29,1049232.53
BREJO DO CRUZ,2025,107079519.9,106180256.88,104648490.78,2431029.12
BREJO DOS SANTOS,2023,32555921.21,32280942.79,31181540.39,1374380.82
BREJO DOS SANTOS,2024,40161206.61,40061716.81,37836359.08,2324847.53
BREJO DOS SANTOS,2025,40435691.99,40393468.92,37283256.19,3152435.8
CAAPORÃ,2023,108141287.03,103899089.19,102678149.01,5463138.02
CAAPORÃ,2024,137699601.89,137699600.29,137680466.9,19134.99
CAAPORÃ,2025,152365197.46,143761856.34,140998887.48,11366309.98
CABACEIRAS,2023,41777975.6,41752117.9,40401849.92,1376125.68
CABACEIRAS,2024,61324757.93,61051811.89,60950856.02,373901.91
CABACEIRAS,2025,51660790.28,51617062.28,51345230.36,315559.92
CABEDELO,2023,510784510.16,499254318.58,482326999.69,28457510.47
CABEDELO,2024,555749713.44,541724552.05,535555331.5,20194381.94
CABEDELO,2025,582805728.92,552201757.15,540299574.65,42506154.27
