nome_municipio,codigo_unidade_gestora,descricao_unidade_gestora,total_empenhado,total_pago,saldo_a_pagar
JOÃO PESSOA,201095,PREFEITURA MUNICIPAL DE JOÃO PESSOA,6499717294.44,5859125976.49,640591317.95
CAMPINA GRANDE,201050,PREFEITURA MUNICIPAL DE CAMPINA GRANDE,4906417291.95,4660556454.98,245860836.97
JOÃO PESSOA,610095,FUNDO MUNICIPAL DE SAÚDE DE JOÃO PESSOA,3771101376.64,3548343943.6,222757433.04
SANTA RITA,201171,PREFEITURA MUNICIPAL DE SANTA RITA,1015357460.76,928666788.25,86690672.51
BAYEUX,201025,PREFEITURA MUNICIPAL DE BAYEUX,903699415.39,819383125.38,84316290.01
CABEDELO,201040,PREFEITURA MUNICIPAL DE CABEDELO,1103935740.84,1031507577.65,72428163.19
SAPÉ,201200,PREFEITURA MUNICIPAL DE SAPÉ,415213056.11,376680479.83,38532576.28
ESPERANÇA,201078,PREFEITURA MUNICIPAL DE ESPERANÇA,484049679.2,445818339.39,38231339.81
CAMPINA GRANDE,301050,INSTITUTO DE PREV. DOS SERV. MUN. DE CAMPINA GRANDE,629899045.39,593816183.22,36082862.17
PATOS,201135,PREFEITURA MUNICIPAL DE PATOS,1157326667.48,1121753758.96,35572908.52
CAJAZEIRAS,201046,PREFEITURA MUNICIPAL DE CAJAZEIRAS,706178489.64,671736818.32,34441671.32
CONDE,201061,PREFEITURA MUNICIPAL DE CONDE,477374821.2,452834034.09,24540787.11
SÃO BENTO,201178,PREFEITURA MUNICIPAL DE SÃO BENTO,535576330.19,511256417.63,24319912.56
SANTA RITA,602171,FUNDO MUNICIPAL DE SAÚDE DE SANTA RITA,419372010.76,395327974.32,24044036.44
LUCENA,201107,PREFEITURA MUNICIPAL DE LUCENA,161281850.09,137706653.87,23575196.22
SAPÉ,601200,FUNDO MUNICIPAL DE SAÚDE DE SAPÉ,189286877.29,167006695.19,22280182.1
AROEIRAS,201017,PREFEITURA MUNICIPAL DE AROEIRAS,301198550.87,281248479.25,19950071.62
LAGOA SECA,201103,PREFEITURA MUNICIPAL DE LAGOA SECA,361530075.53,341725490.5,19804585.03
CATOLÉ DO ROCHA,201057,PREFEITURA MUNICIPAL DE CATOLÉ DO ROCHA,373100799.36,353851226.7,19249572.66
JACARAÚ,201093,PREFEITURA MUNICIPAL DE JACARAÚ,274484061.23,255379691.01,19104370.22
PRINCESA ISABEL,201153,PREFEITURA MUNICIPAL DE PRINCESA ISABEL,347749710.6,329845912.93,17903797.67
MAMANGUAPE,201110,PREFEITURA MUNICIPAL DE MAMANGUAPE,420050878.98,402309261.12,17741617.86
MOGEIRO,201120,PREFEITURA MUNICIPAL DE MOGEIRO,233016013.97,215664212.4,17351801.57
ALHANDRA,201008,PREFEITURA MUNICIPAL DE ALHANDRA,543589561.29,526735395.05,16854166.24
CAAPORÃ,201038,PREFEITURA MUNICIPAL DE CAAPORÃ,336577819.98,319806764.93,16771055.05
CABEDELO,601040,FUNDO MUNICIPAL DE SAÚDE DE CABEDELO,347096953.33,330885579.73,16211373.6
INGÁ,201088,PREFEITURA MUNICIPAL DE INGÁ,302319706.73,286537771.89,15781934.84
SANTA LUZIA,201170,PREFEITURA MUNICIPAL DE SANTA LUZIA,281198700.27,265980954.46,15217745.81
QUEIMADAS,201155,PREFEITURA MUNICIPAL DE QUEIMADAS,599686909.44,584917257.54,14769651.9
CRUZ DO ESPÍRITO SANTO,201065,PREFEITURA MUNICIPAL DE CRUZ DO ESPÍRITO SANTO,264981184.87,250467648.3,14513536.57
SÃO JOÃO DO RIO DO PEIXE,201183,PREFEITURA MUNICIPAL DE SÃO JOÃO DO RIO DO PEIXE,365912166.14,351690839.38,14221326.76
CUITÉ,201067,PREFEITURA MUNICIPAL DE CUITÉ,280635499.18,266433523.11,14201976.07
SÃO VICENTE DO SERIDÓ,201199,PREFEITURA MUNICIPAL DE SÃO VICENTE DO SERIDÓ,156169207.62,142055644.53,14113563.09
SÃO JOSÉ DE PIRANHAS,201188,PREFEITURA MUNICIPAL DE SÃO JOSÉ DE PIRANHAS,307150448.3,293275743.38,13874704.92
SOUSA,201211,PREFEITURA MUNICIPAL DE SOUSA,478800525.1,466163946.12,12636578.98
