ano,ranking,nome,cpf_cnpj,tipo_pessoa,total_pago,total_empenhado
2023,1,SECRETARIA MUNICIPAL DA FAZENDA,8806721000103,ND,679493340.55,679493340.55
2023,2,PREFEITURA MUNICIPAL DE CAMPINA GRANDE,8993917000146,ND,605731626.07,605912853.0
2023,3,FUNDO MUNICIPAL DE SAUDE,8715618000140,ND,580773936.3,584354655.97
2023,4,IPM-INSTITUTO DE PREVIDENCIA DO MUNICIPIO,40955403000109,PJ,496174376.67,503704232.29
2023,5,MINISTERIO DA PREVIDENCIA SOCIAL *,29979036000140,PJ,447955229.64,504146266.33
2023,6,IPSEM-INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES PÚBLICOS MUNICIPAIS,41134826000120,PJ,302807136.76,303105188.18
2023,7,SAELPA/ENERGISA,9095183000140,ND,206569678.49,214367594.92
2023,8,PREFEITURA MUNICIPAL DE PATOS,9084815000170,ND,166748135.14,167973446.05
2023,9,TRIBUNAL DE JUTICA DA PARAIBA,9283185000163,ND,159237746.98,159894025.72
2023,10,EXEMPLAR SERVICE E LIMPEZA TDA,13531490000102,PJ,140184293.77,151157388.87
2023,11,PREFEITURA MUNICIPAL DE CABEDELO,9012493000154,ND,138137327.7,138137327.77
2023,12,SECRETARIA ESPECIAL DA RECEITA FEDERAL DO BRASIL,394460005887,ND,132973311.5,143914801.87
2023,13,SECRETARIA DA RECEITA FEDERAL-MINISTERIO DA FAZENDA,394460008630,ND,127992596.16,136608139.85
2023,14,PREFEITURA MUNICIPAL DE BAYEUX,8924581000160,ND,118859802.67,127342730.38
2023,15,PREFEITURA DE SANTA RITA,9159666000161,ND,109675000.52,109728358.06
2023,16,STTRANS -GUARABIRA/PB,8785479000120,ND,86797261.71,86797261.71
2023,17,INSTITUTO NACIONAL DO SEGURO SOCIAL-INSS,29979036016306,PJ,81952851.5,100185820.54
2023,18,IPREVSR,8608754000130,ND,80925299.75,81220587.38
2023,19,PREFEITURA MUNICIPAL DE CAJAZEIRAS,8923971000115,ND,76670464.59,76916359.29
2023,20,MINISTERIO DA PREVIDENCIA E ASSISTENCIA SOCIAL-MPAS,29979036016225,PJ,75652328.93,82663331.34
2023,21,PREFEITURA MUNICIPAL DE ALHANDRA,8778318000100,ND,75057712.33,78441110.4
2023,22,IPAM - INSTITUTO DE PREVID. DOS SERV. MUNICIPAIS,8608937000156,ND,70937981.27,76065720.64
2023,23,PREFEITURA MUNICIPAL DE QUEIMADAS,8742264000122,ND,68228112.66,68228112.66
2023,24,CAMARA MUNICIPAL DE JOAO PESSOA,9283482000109,ND,68087695.62,68087695.62
2023,25,IPSEMEC-INSTITUTO DE PREVIDÊNCIA DOS SERVIDORES MU,41216755000105,PJ,65762430.0,71597989.81
2023,26,PREFEITURA MUNICIPAL DE SAO BENTO,9069709000118,ND,65133995.12,69999378.4
2023,27,PREFEITURA MUNICIPAL DE POMBAL,8948697000139,ND,64658422.34,64658422.34
2023,28,ISSMP-INSTITUTO DE SEGURIDADE SOCIAL DO MUNICÍPIO DE PATOS-ISSMP,3391291000184,ND,63036294.8,66340322.26
2023,29,PREFEITURA MUNICIPAL DE CONDE,8916645000180,ND,60528287.62,60544434.11
2023,30,FUNDO MUNICIPAL DE SAÚDE,8694222000163,ND,57689398.85,57689398.85
2024,1,SECRETARIA MUNICIPAL DA FAZENDA,8806721000103,ND,737041711.26,737041711.26
2024,2,PREFEITURA MUNICIPAL DE CAMPINA GRANDE,8993917000146,ND,695880996.06,701479029.31
2024,3,FUNDO MUNICIPAL DE SAUDE,8715618000140,ND,653471495.25,653471495.25
2024,4,IPM-INSTITUTO DE PREVIDENCIA DO MUNICIPIO,40955403000109,PJ,545502349.26,545502349.26
2024,5,MINISTERIO DA PREVIDENCIA SOCIAL *,29979036000140,PJ,405860980.24,420568306.94
