ano,ranking,codigo_programa,descricao_programa,codigo_acao,descricao_acao,total_empenhado,total_liquidado,total_pago
2023,1,222,AGUA DE QUALIDADE PARA TODOS,183,CONVENIO SISTEMA DE ABASTECIMENTO DE ÁGUA NO MUNICIPIO,471278734.76,444888388.62,435551044.91
2023,2,1001,MODERNIZAÇÃO LEGISLATIVA,2001,PAGAMENTO DE PESSOAL E ENCARGOS SOCIAOS,389379837.53,389007453.82,388547355.67
2023,3,5001,APOIO ADMINISTRATIVO DO LEGISLATIVO,361,ENCARGOS COM PESSOAL ATIVO DA SAÚDE - FMS,381478336.31,381478336.31,381478336.31
2023,4,5001,APOIO ADMINISTRATIVO DO LEGISLATIVO,64,ENCARGOS COM INATIVOS - IPM,324935983.82,324935983.82,324935983.82
2023,5,2019,PREVIDENCIA SOCIAL DE SEGURADOS,2117,CONTRACAÇÃO DE SERVIÇOS ESPECIALIZADOS PARA CONSULTA MEDICAS E EXAMES,303607996.11,303493702.45,275842386.9
2023,6,1002,UNIDOS PELA CULTURA,2012,MANUTENCAO DO SALARIO EDUCACAO -  QSE,274573440.25,271556173.05,258522485.26
2023,7,1004,PROGRAMA DE DESENVOLVIMENTO DA REGIÃO E AÇÕES GLOBALIZADAS,2029,MANUTENCAO DO ENSINO FUNDAMENTAL - FUNDEB 70%,265220590.55,263506474.07,258845724.35
2023,8,1003,PROGRAMA DE INCENTIVO AO DESENVOLVIMENTO SOCIOECONOMICO MUNICIPAL,2017,MANUTENCAO DO TRANSPORTE ESCOLAR,248743732.87,246948689.74,240991484.57
2023,9,1003,PROGRAMA DE INCENTIVO AO DESENVOLVIMENTO SOCIOECONOMICO MUNICIPAL,2030,PROGRAMA DINHEIRO DIRETO NA ESCOLA - PDDE,245712159.88,244240737.2,239002693.24
2023,10,1004,PROGRAMA DE DESENVOLVIMENTO DA REGIÃO E AÇÕES GLOBALIZADAS,2013,MANUTENÇÃO DO TRANSPORTE ESCOLAR DO ENSINO FUNDAMENTAL,244888874.33,243455105.85,236903736.0
2023,11,1005,PROGRAMA DE INFRA-ESTRUTURA EM SAUDE,2099,ALIMENTACAO ESCOLAR - EDUCACAO ESPECIAL - AEE,243574950.0,243314755.44,238608530.62
2023,12,2010,MORAR MELHOR,2010,PARCELAMENTO DA DIVIDA,231212130.4,230485453.99,219572463.25
2023,13,2004,SANEAMENTO BÁSICO MUNICIPAL,2009,PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR - PNAE,225778300.56,225164745.09,220355460.56
2023,14,30,DESENVOLVIMENTO URBANO,2018,MANUT.DOS PROGRAMAS DO ENS.FUNDAM.C/REC.DO FNDE,222786330.08,221634087.38,213822947.49
2023,15,5414,"5414-REGULAÇÃO, CONTROLE, AVALIAÇÃO E AUDITORIA EM SERVIÇOS DE SAÚDE",366,MAC - REDE CONVENIADA CONTRATADA SUPLEMENTAR-  MANTER E IMPLEMENTAR A,220689383.6,191478684.16,186069170.82
2023,16,2002,PROGRAMA ALHANDRA COM DESENVOLVIMENTO ECONÔMICO,2024,MANUTENCAO DAS ATIVIDADES DA SECRETARIA MUNICIPAL DA EDUCACAO,218065373.81,217124414.81,200513339.57
2023,17,1005,PROGRAMA DE INFRA-ESTRUTURA EM SAUDE,2011,MANUTENÇÃO DE PROGRAMAS COM RECURSOS DO FNDE,213739573.45,212596073.08,205609190.66
2023,18,1013,JUVENTUDE EM A  O,2015,MANUTENÇÃO DO MAIS EDUCAÇÃO,203438757.84,202397125.96,194990377.4
2023,19,2016,ASSISTÊNCIA A COMUNIDADES,2038,MANTER AS ATIVIDADES DO PROGRAMA PREVINE BRASIL,202223063.76,201473256.52,198282077.34
2023,20,1001,MODERNIZAÇÃO LEGISLATIVA,2027,MANUTENCAO DA MERENDA ESCOLAR PNAE - AEE,200116946.94,199279060.54,189153437.66
2023,21,1008,PROGRAMA DE ENSINO FUNDAMENTAL,2020,PROGRAMA DE TRANSPORTE ESCOLAR,195568928.45,195127106.51,183538792.34
2023,22,1013,JUVENTUDE EM A  O,2028,APOIO E INCENTIVO A ARTE E CULTURA,195339070.04,195072456.32,185479977.34
2023,23,2,PROGRAMA MANUT.POLIT.CUMP.METAS CONT.SOC.PREV.CONT,2033,MANUTENCAO DAS ATIVIDADES DE ILUMINACAO PUBLICA E DOS ORGAOS MUNICIPAI,194416751.98,193364469.2,188181630.07
2023,24,1001,MODERNIZAÇÃO LEGISLATIVA,2032,"REPASSE PARA APAE, AACD, CLUBE DE MAES, LAR DA SAGRADA FACE E OUTROS",193506536.74,192439574.51,184440198.76
2023,25,1004,PROGRAMA DE DESENVOLVIMENTO DA REGIÃO E AÇÕES GLOBALIZADAS,2014,MANUTENÇÃO DO PROGRAMA DINHEIRO DIRETO NA ESCOLA - PDDE,191704278.02,189319013.65,183420268.0
2023,26,1005,PROGRAMA DE INFRA-ESTRUTURA EM SAUDE,2035,TETO DA MEDIA E ALTA COMPLEXIDADE AMBULATORIO E HOSPITALAR - MAC,186669463.14,183996016.41,177395882.43
2023,27,7,PROGRAMA DE ASSISTENCIA A CRIANÇA,2002,MANUTENCAO DAS ATIVIDADES DO GABINETE DO PREFEITO,186479589.24,185947018.26,181375946.41
2023,28,1002,UNIDOS PELA CULTURA,2008,RECOLHER OBRIGAÇOES PATRONAIS DE SERVIDORES,186461797.46,185172297.84,178604644.28
2023,29,2001,MODERNIZACAO DO LEGISLATIVO MUNICIPAL,2034,MANUTENCAO DAS ATIVIDADES DA SECRETARIA MUNICIPAL DE DESENVOLVIMENTO E,186330091.32,184258796.87,178748171.05
2023,30,3004,CONTROLE DE DOENÇAS TRANSMISSÍVEIS,2023,MANUTENÇÃO DE TRANPORTE ESCOLAR - CONV. DO ESTADO,185146461.08,184656015.9,179638507.0
2024,1,222,AGUA DE QUALIDADE PARA TODOS,183,CONVENIO SISTEMA DE ABASTECIMENTO DE ÁGUA NO MUNICIPIO,548436141.99,525271292.31,522368703.26
2024,2,1001,MODERNIZAÇÃO LEGISLATIVA,2001,PAGAMENTO DE PESSOAL E ENCARGOS SOCIAOS,415294777.52,415267890.05,415074368.23
2024,3,5001,APOIO ADMINISTRATIVO DO LEGISLATIVO,361,ENCARGOS COM PESSOAL ATIVO DA SAÚDE - FMS,412593018.78,412593018.78,412593018.78
2024,4,2019,PREVIDENCIA SOCIAL DE SEGURADOS,2117,CONTRACAÇÃO DE SERVIÇOS ESPECIALIZADOS PARA CONSULTA MEDICAS E EXAMES,376365727.73,376119853.74,359777991.73
2024,5,5001,APOIO ADMINISTRATIVO DO LEGISLATIVO,64,ENCARGOS COM INATIVOS - IPM,363626363.19,363625350.24,363625350.24
2024,6,1004,PROGRAMA DE DESENVOLVIMENTO DA REGIÃO E AÇÕES GLOBALIZADAS,2029,MANUTENCAO DO ENSINO FUNDAMENTAL - FUNDEB 70%,337240338.85,336988928.85,333178394.23
2024,7,2010,MORAR MELHOR,2010,PARCELAMENTO DA DIVIDA,317436576.13,316734689.11,310027946.12
2024,8,30,DESENVOLVIMENTO URBANO,2018,MANUT.DOS PROGRAMAS DO ENS.FUNDAM.C/REC.DO FNDE,311695177.06,309989713.46,304177893.64
2024,9,1002,UNIDOS PELA CULTURA,2012,MANUTENCAO DO SALARIO EDUCACAO -  QSE,309139331.73,307418059.05,305745755.63
2024,10,1003,PROGRAMA DE INCENTIVO AO DESENVOLVIMENTO SOCIOECONOMICO MUNICIPAL,2030,PROGRAMA DINHEIRO DIRETO NA ESCOLA - PDDE,301306642.76,300857974.48,297306523.22
2024,11,1004,PROGRAMA DE DESENVOLVIMENTO DA REGIÃO E AÇÕES GLOBALIZADAS,2013,MANUTENÇÃO DO TRANSPORTE ESCOLAR DO ENSINO FUNDAMENTAL,280355148.67,279709401.23,273284274.9
2024,12,1013,JUVENTUDE EM A  O,2015,MANUTENÇÃO DO MAIS EDUCAÇÃO,272862312.11,272577296.08,269480889.57
2024,13,1001,MODERNIZAÇÃO LEGISLATIVA,2027,MANUTENCAO DA MERENDA ESCOLAR PNAE - AEE,272130385.63,271920243.52,264165734.72
2024,14,1005,PROGRAMA DE INFRA-ESTRUTURA EM SAUDE,2099,ALIMENTACAO ESCOLAR - EDUCACAO ESPECIAL - AEE,261426537.77,261369448.97,257956725.02
2024,15,1003,PROGRAMA DE INCENTIVO AO DESENVOLVIMENTO SOCIOECONOMICO MUNICIPAL,2017,MANUTENCAO DO TRANSPORTE ESCOLAR,250083489.4,249250088.55,242892457.22
2024,16,1004,PROGRAMA DE DESENVOLVIMENTO DA REGIÃO E AÇÕES GLOBALIZADAS,2014,MANUTENÇÃO DO PROGRAMA DINHEIRO DIRETO NA ESCOLA - PDDE,245853341.36,244468427.34,240621640.7
2024,17,2002,PROGRAMA ALHANDRA COM DESENVOLVIMENTO ECONÔMICO,2024,MANUTENCAO DAS ATIVIDADES DA SECRETARIA MUNICIPAL DA EDUCACAO,240581982.2,239328831.81,231906976.96
2024,18,1005,PROGRAMA DE INFRA-ESTRUTURA EM SAUDE,2011,MANUTENÇÃO DE PROGRAMAS COM RECURSOS DO FNDE,234460471.86,233800147.84,228914903.06
2024,19,2,PROGRAMA MANUT.POLIT.CUMP.METAS CONT.SOC.PREV.CONT,2033,MANUTENCAO DAS ATIVIDADES DE ILUMINACAO PUBLICA E DOS ORGAOS MUNICIPAI,231524021.01,231107407.43,226878099.8
2024,20,1008,PROGRAMA DE ENSINO FUNDAMENTAL,2020,PROGRAMA DE TRANSPORTE ESCOLAR,223380613.68,221119475.62,217734296.39
2024,21,1003,PROGRAMA DE INCENTIVO AO DESENVOLVIMENTO SOCIOECONOMICO MUNICIPAL,2025,MANUTENCAO DO PDDE,216387164.69,216113732.5,213148180.06
2024,22,11,SANEAMENTO BASICO,2021,MANUTENCAO DO PROGRAMA PDDE,213744635.05,213208957.59,210994203.22
2024,23,2016,ASSISTÊNCIA A COMUNIDADES,2038,MANTER AS ATIVIDADES DO PROGRAMA PREVINE BRASIL,209293233.54,209207240.88,206898483.29
2024,24,2004,SANEAMENTO BÁSICO MUNICIPAL,2009,PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR - PNAE,207985769.58,207703070.97,203607928.53
2024,25,3004,CONTROLE DE DOENÇAS TRANSMISSÍVEIS,2023,MANUTENÇÃO DE TRANPORTE ESCOLAR - CONV. DO ESTADO,206455102.23,205001281.53,202063109.47
2024,26,5099,5099-INFRA-ESTRUTURA,267,SISTEMA VIÁRIO,203530428.11,193890176.26,193552926.38
