ano,codigo_fonte_recurso,descricao_fonte_recurso,ano_fonte,total_empenhado,total_pago,percentual_empenhado_no_ano
2023,500,RECURSOS NÃO VINCULADOS DE IMPOSTOS,2,9693233359.63,9093630261.97,50.561021
2023,540,TRANSFERÊNCIAS DO FUNDEB - IMPOSTOS E TRANSFERÊNCIAS DE IMPOSTOS,2,3181102594.62,3093851524.85,16.592997
2023,600,TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO FEDERAL - BLOCO DE MANUTENÇÃO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE,2,2222144300.89,2061369940.38,11.590961
2023,800,RECURSOS VINCULADOS AO RPPS - FUNDO EM CAPITALIZAÇÃO (PLANO PREVIDENCIÁRIO),2,734118685.15,731546616.59,3.829248
2023,542,TRANSFERÊNCIAS DO FUNDEB - COMPLEMENTAÇÃO DA UNIÃO - VAAT,2,583654706.87,562650305.32,3.04441
2023,700,OUTRAS TRANSFERÊNCIAS DE CONVÊNIOS OU REPASSES DA UNIÃO,2,262534986.78,217828483.87,1.369413
2023,541,TRANSFERÊNCIAS DO FUNDEB - COMPLEMENTAÇÃO DA UNIÃO - VAAF,2,260216172.54,257050476.1,1.357318
2023,801,RECURSOS VINCULADOS AO RPPS - FUNDO EM REPARTIÇÃO (PLANO FINANCEIRO),1,227238978.32,226572710.67,1.185305
2023,754,RECURSOS DE OPERAÇÕES DE CRÉDITO,2,201303743.4,173566195.1,1.050024
2023,660,TRANSFERÊNCIA DE RECURSOS DO FUNDO NACIONAL DE ASSISTÊNCIA SOCIAL - FNAS,2,187757834.41,179780722.36,0.979366
2023,605,ASSISTÊNCIA FINANCEIRA DA UNIÃO DESTINADA À COMPLEMENTAÇÃO AO PAGAMENTO DOS PISOS SALARIAIS PARA PROFISSIONAIS DA ENFERMAGEM,1,171226100.48,164936166.97,0.893135
2023,604,TRANSFERÊNCIAS PROVENIENTES DO GOVERNO FEDERAL DESTINADAS AO VENCIMENTO DOS AGENTES COMUNITÁRIOS DE SAÚDE E DOS AGENTES DE COMBATE ÀS ENDEMIAS,2,150310591.02,148662627.66,0.784037
2023,571,TRANSFERÊNCIAS DO ESTADO REFERENTES A CONVÊNIOS E OUTROS REPASSES VINCULADOS À EDUCAÇÃO,2,123398703.84,115951865.12,0.643662
2023,751,RECURSOS DA CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA - COSIP,1,121738063.46,111050803.96,0.635
2023,501,OUTROS RECURSOS NÃO VINCULADOS,2,98390096.73,94072851.33,0.513214
2023,601,TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO FEDERAL - BLOCO DE ESTRUTURAÇÃO DA REDE DE SERVIÇOS PÚBLICOS DE SAÚDE,2,90212636.67,72092073.49,0.47056
2023,552,TRANSFERÊNCIAS DE RECURSOS DO FNDE REFERENTES AO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR (PNAE),2,78051029.7,75260423.36,0.407123
2023,544,RECURSOS DE PRECATÓRIOS DO FUNDEF,2,66179824.29,64049099.95,0.345202
2023,550,TRANSFERÊNCIA DO SALÁRIO-EDUCAÇÃO,2,65501805.0,60524730.62,0.341665
2023,711,DEMAIS TRANSFERÊNCIAS OBRIGATÓRIAS NÃO DECORRENTES DE REPARTIÇÕES DE RECEITAS.,2,64294105.22,58979645.03,0.335365
2023,569,OUTRAS TRANSFERÊNCIAS DE RECURSOS DO FNDE,2,54564401.66,45258707.44,0.284614
2023,706,TRANSFERÊNCIA ESPECIAL DA UNIÃO,2,53797317.52,50657926.22,0.280613
2023,701,OUTRAS TRANSFERÊNCIAS DE CONVÊNIOS OU REPASSES DOS ESTADOS,2,45464589.61,42495530.57,0.237149
2023,704,TRANSFERÊNCIA DA UNIÃO REFERENTE A ROYALTIES DO PETRÓLEO E GÁS NATURAL,2,43344685.4,36647405.13,0.226091
2023,752,RECURSOS VINCULADOS AO TRÂNSITO,1,36762524.23,34812411.7,0.191758
2023,621,TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO ESTADUAL,2,36665538.37,35647453.05,0.191252
2023,553,TRANSFERÊNCIAS DE RECURSOS DO FNDE REFERENTES AO PROGRAMA NACIONAL DE APOIO AO TRANSPORTE ESCOLAR (PNATE),2,31988304.02,31253318.63,0.166855
2023,802,RECURSOS VINCULADOS AO RPPS - TAXA DE ADMINISTRAÇÃO,2,26467341.86,25538259.09,0.138057
2023,759,RECURSOS VINCULADOS A FUNDOS,1,23799873.56,23126134.86,0.124143
2023,502,RECURSOS NÃO VINCULADOS DA COMPENSAÇÃO DE IMPOSTOS,1,23494521.21,22908629.04,0.12255
2023,659,OUTROS RECURSOS VINCULADOS À SAÚDE,1,22618304.35,20521710.41,0.11798
2023,632,TRANSFERÊNCIAS DO ESTADO REFERENTES A CONVÊNIOS E OUTROS REPASSES VINCULADOS À SAÚDE,2,22580694.67,21532501.13,0.117784
2023,715,TRANSFERÊNCIAS DESTINADAS AO SETOR CULTURAL - LC Nº 195/2022 - ART. 5º - AUDIOVISUAL,2,20952482.82,16676007.28,0.109291
2023,543,TRANSFERÊNCIAS DO FUNDEB - COMPLEMENTAÇÃO DA UNIÃO - VAAR,1,20947537.18,15036894.62,0.109265
2023,899,OUTROS RECURSOS VINCULADOS,2,17204305.44,14561215.53,0.08974
2023,631,TRANSFERÊNCIAS DO GOVERNO FEDERAL REFERENTES A CONVÊNIOS E OUTROS REPASSES VINCULADOS À SAÚDE,2,12608801.7,11550095.03,0.065769
2023,570,TRANSFERÊNCIAS DO GOVERNO FEDERAL REFERENTES A CONVÊNIOS E OUTROS REPASSES VINCULADOS À EDUCAÇÃO,2,11864637.46,11370244.93,0.061887
2023,575,OUTRAS TRANSFERÊNCIAS DE CONVÊNIOS E INSTRUMENTOS CONGÊNERES VINCULADOS À EDUCAÇÃO,2,10826429.05,10089671.6,0.056472
2023,716,TRANSFERÊNCIAS DESTINADAS AO SETOR CULTURAL - LC Nº 195/2022 - ART. 8º - DEMAIS SETORES DA CULTURA,2,9355421.96,7211428.82,0.048799
2023,710,TRANSFERÊNCIA ESPECIAL DOS ESTADOS,2,8690968.39,6952110.0,0.045333
2023,708,TRANSFERÊNCIA DA UNIÃO REFERENTE À COMPENSAÇÃO FINANCEIRA DE RECURSOS MINERAIS,2,8600802.31,8560680.18,0.044863
2023,669,OUTROS RECURSOS VINCULADOS À ASSISTÊNCIA SOCIAL,2,8085519.8,7662725.8,0.042175
2023,749,OUTRAS VINCULAÇÕES DE TRANSFERÊNCIAS,2,7295436.0,6175948.23,0.038054
2023,636,OUTRAS TRANSFERÊNCIAS DE CONVÊNIOS E INSTRUMENTOS CONGÊNERES VINCULADOS À SAÚDE,2,5970086.23,5787714.83,0.031141
2023,755,RECURSOS DE ALIENAÇÃO DE BENS/ATIVOS - ADMINISTRAÇÃO DIRETA,2,5275458.31,5275458.31,0.027517
2023,573,ROYALTIES E PARTICIPAÇÃO ESPECIAL DE PETRÓLEO E GÁS NATURAL VINCULADOS À EDUCAÇÃO - LEI Nº 12.858/2013,1,4344019.1,3096642.98,0.022659
2023,661,TRANSFERÊNCIA DE RECURSOS DOS FUNDOS ESTADUAIS DE ASSISTÊNCIA SOCIAL,2,3173861.89,3044073.71,0.016555
2023,635,ROYALTIES E PARTICIPAÇÃO ESPECIAL DE PETRÓLEO E GÁS NATURAL VINCULADOS À SAÚDE - LEI Nº 12.858/2013,1,2444468.17,2344570.82,0.012751
2023,576,TRANSFERÊNCIAS DE RECURSOS DOS ESTADOS PARA PROGRAMAS DE EDUCAÇÃO,2,2162840.96,2121434.32,0.011282
2023,880,RECURSOS PRÓPRIOS DOS CONSÓRCIOS,1,1552371.51,1472365.81,0.008097
2023,665,TRANSFERÊNCIAS DE CONVÊNIOS E OUTROS REPASSES VINCULADOS À ASSISTÊNCIA SOCIAL,2,1272728.93,1148286.41,0.006639
2023,799,OUTRAS VINCULAÇÕES LEGAIS,1,943529.89,808317.97,0.004922
2023,750,RECURSOS DA CONTRIBUIÇÃO DE INTERVENÇÃO NO DOMÍNIO ECONÔMICO - CIDE,1,807991.66,755764.42,0.004215
2023,551,TRANSFERÊNCIAS DE RECURSOS DO FNDE REFERENTES AO PROGRAMA DINHEIRO DIRETO NA ESCOLA (PDDE),1,766891.78,753679.06,0.004
2023,602,TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO FEDERAL - BLOCO DE MANUTENÇÃO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE – RECURSOS DESTINADOS AO ENFRENTAMENTO DA COVID-19 NO BOJO DA AÇÃO 21C0.,2,711659.73,698259.35,0.003712
2023,599,OUTROS RECURSOS VINCULADOS À EDUCAÇÃO,1,450085.14,366095.14,0.002348
2023,707,TRANSFERÊNCIAS DA UNIÃO – INCISO I DO ART. 5º DA LEI COMPLEMENTAR 173/2020,1,366746.41,364058.14,0.001913
2023,703,OUTRAS TRANSFERÊNCIAS DE CONVÊNIOS OU CONTRATOS DE REPASSE DE OUTRAS ENTIDADES,1,194687.02,194687.02,0.001016
2023,717,"ASSISTÊNCIA FINANCEIRA TRANSPORTE COLETIVO - ART. 5º, INCISO IV, EC Nº 123/2022",1,178045.93,178045.93,0.000929
2023,702,OUTRAS TRANSFERÊNCIAS DE CONVÊNIOS OU REPASSES DOS MUNICÍPIOS,1,105558.57,98454.57,0.000551
2023,719,TRANSFERÊNCIAS DA POLÍTICA NACIONAL ALDIR BLANC DE FOMENTO À CULTURA - LEI 14.399/2022,1,21622.52,17122.52,0.000113
2023,753,RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES,1,14551.8,14551.8,7.6e-05
2023,714,"TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS
DO FUNDO DE AMPARO AO TRABALHADOR -
F A",1,9934.82,9934.82,5.2e-05
